ID	PAYMENT_METHOD	SEC_SCAN	SEC_PAY
5	iD	8.719	2.615
6	Cash	5.38	17.488
7	Cash	8.744	34.77
8	Cash	2.771	24.021
9	Credit	17.1	2.518
10	Cash	5.839	16.208
11	FeliCa	3.841	10.041
12	Cash	11.911	21.251
13	iD	4.827	7.342
15	Cash	8.607	6.226
16	Cash	5.321	5.524
17	FeliCa	2.924	29.103
18	Cash	8.309	6.718
19	Cash	5.835	15.499
20	iD	2.542	2.769
21	FeliCa	5.224	2.169
22	Cash	6.793	27.023
23	Cash	7.33	9.629
24	FeliCa	6.792	7.516
25	Cash	10.796	2.089
26	FeliCa	1.799	4.188
27	iD	4.718	3.557
28	Cash	6.461	11.507
29	Cash	6.461	12.684
30	Cash	2.202	28.792
31	Cash	1.789	14.162
32	Cash	3.364	6.333
33	Cash	4.514	9.385
34	FeliCa	3.159	5.594
35	Cash	1.91	12.618
36	Cash	6.283	53.237
37	Credit	18.147	1.773
38	Cash	4.516	29.403
39	Cash	5.811	17.839
40	FeliCa	6.507	4.865
41	Cash	5.258	8.776
42	Cash	2.39	13.06
43	Cash	7.126	14.13
44	FeliCa	3.539	1.777
45	Cash	4.003	14.618
46	Cash	5.72	11.483
47	Cash	2.736	11.43
48	Cash	3.729	17.7
49	Cash	10.959	9.86
50	Cash	3.403	7.495
51	Cash	9.35	15.402
52	iD	4.386	10.563
53	Cash	2.149	7.808
54	Cash	7.979	8.303
55	Cash	1.328	16.49
56	Cash	6.419	14.71
57	Cash	2.551	5.665
58	Cash	2.666	7.888
59	Cash	2.037	17.554
60	Cash	2.319	22.589
61	Cash	11.704	6.601
62	FeliCa	5.774	6.46
63	Cash	3.599	8.742
64	iD	4.23	2.481
65	Cash	2.318	18.567
66	Cash	5.067	10.012
67	Cash	2.857	13.892
68	Cash	13.432	38.911
69	iD	4.229	13.341
70	Cash	3.813	17.2
71	Cash	2.38	7.911
72	Cash	3.505	11.138
73	Cash	7.491	7.907
74	Cash	3.727	16.651
75	Cash	2.739	6.12
76	Cash	3.121	10.522
77	Cash	2.703	10.67
78	Cash	2.938	7.241
79	PayPay	6.073	5.488
80	PayPay	2.934	4.574
81	iD	11.079	10.978
82	Cash	5.794	14.653
83	Cash	5.732	22.234
84	Cash	2.527	10.505
85	Cash	10.097	14.757
86	Cash	1.733	12.813
87	Cash	13.056	14.651
